index,company_name,stock_symbol,portfolio_percent,price,flat_change,percent_change
403,Symbol Not Found,TRMB,0.04%,63.17,-1.19,(-1.85%)
404,Symbol Not Found,SNA,0.04%,294.63,-1.59,(-0.54%)
405,Symbol Not Found,ESS,0.04%,239.67,-5.14,(-2.10%)
406,"United Airlines Holdings, Inc.",UAL,0.04%,47.35,-0.53,(-1.11%)
407,Symbol Not Found,ZBRA,0.03%,301.00,-0.44,(-0.15%)
408,"Lamb Weston Holdings, Inc.",LW,0.03%,104.98,-1.55,(-1.45%)
409,"Mid-America Apartment Communities, Inc.",MAA,0.03%,128.70,-2.88,(-2.19%)
410,Symbol Not Found,LYV,0.03%,104.22,-1.55,(-1.47%)
411,Albemarle Corporation,ALB,0.03%,129.18,-2.56,(-1.94%)
412,"Walgreens Boots Alliance, Inc",WBA,0.03%,19.54,-2.15,(-9.91%)
413,"Nrg Energy, Inc.",NRG,0.03%,70.15,2.46,(3.63%)
414,Symbol Not Found,K,0.03%,57.06,-0.23,(-0.40%)
415,Symbol Not Found,SWK,0.03%,95.46,-2.47,(-2.52%)
416,Bunge Global Sa,BG,0.03%,102.29,-0.23,(-0.22%)
417,Eqt Corp,EQT,0.03%,37.11,0.04,(0.11%)
418,Symbol Not Found,NDSN,0.03%,271.69,-2.85,(-1.04%)
419,Keycorp,KEY,0.03%,15.49,-0.32,(-2.02%)
420,Quest Diagnostics Inc.,DGX,0.03%,134.77,1.66,(1.25%)
421,Symbol Not Found,HST,0.03%,20.71,0.03,(0.15%)
422,Symbol Not Found,L,0.03%,77.48,-0.81,(-1.03%)
423,Symbol Not Found,LKQ,0.03%,53.18,-0.23,(-0.43%)
424,Viatris Inc.,VTRS,0.03%,11.94,0.00,(0.00%)
425,"Conagra Brands, Inc.",CAG,0.03%,29.68,0.04,(0.13%)
426,Symbol Not Found,PNR,0.03%,84.41,-1.03,(-1.21%)
427,Symbol Not Found,KMX,0.03%,85.94,-1.17,(-1.34%)
428,Symbol Not Found,CRL,0.03%,268.73,-2.22,(-0.82%)
429,Amcor Plcs,AMCR,0.03%,9.45,-0.06,(-0.63%)
430,International Paper Co.,IP,0.03%,39.03,0.01,(0.03%)
431,Symbol Not Found,ROL,0.03%,45.72,-0.55,(-1.19%)
432,Symbol Not Found,RVTY,0.03%,103.27,-1.73,(-1.65%)
433,Symbol Not Found,DOC,0.03%,18.54,-0.21,(-1.12%)
434,Symbol Not Found,SJM,0.03%,124.73,-1.14,(-0.91%)
435,Symbol Not Found,KIM,0.03%,19.09,-0.52,(-2.65%)
436,Mgm Resorts International,MGM,0.03%,47.78,0.57,(1.21%)
437,Symbol Not Found,IPG,0.03%,32.50,-0.13,(-0.40%)
438,Symbol Not Found,JKHY,0.03%,170.46,-3.27,(-1.88%)
439,Alliant Energy Corporation,LNT,0.03%,49.68,-0.72,(-1.43%)
440,Symbol Not Found,TAP,0.03%,67.33,0.08,(0.12%)
441,Westrock Company,WRK,0.03%,49.34,-0.11,(-0.22%)
442,Symbol Not Found,GEN,0.03%,22.31,-0.09,(-0.40%)
443,Symbol Not Found,EVRG,0.03%,52.74,-0.64,(-1.20%)
444,Symbol Not Found,JNPR,0.03%,37.05,-0.01,(-0.03%)
445,Symbol Not Found,EMN,0.03%,100.30,0.08,(0.08%)
446,Insulet Corporation,PODD,0.03%,168.10,-3.30,(-1.93%)
447,Symbol Not Found,ALLE,0.03%,132.32,-2.39,(-1.77%)
